FIRST_NAME,LAST_NAME,TEAMS
Harry,Connor,"Boston Bruins, New York Americans, Ottawa Senators (1917)"
Dutch,Gainor,"Boston Bruins, New York Rangers, Ottawa Senators (1917), Montreal Maroons"
Martin,Lauder,Boston Bruins
Larry,Aurie,"Detroit Cougars, Detroit Falcons, Detroit Red Wings"
Frank,Sheppard,Detroit Cougars
Leo,Gaudreault,Montréal Canadiens
Gerry,Lowrey,"Toronto Maple Leafs, Pittsburgh Pirates, Philadelphia Quakers, Chicago Blackhawks, Ottawa Senators (1917)"
Joe,Primeau,Toronto Maple Leafs
Beattie,Ramsay,Toronto Maple Leafs
Art,Smith,"Toronto Maple Leafs, Ottawa Senators (1917)"
Fred,Brown,Montreal Maroons
Joe,Lamb,"Montreal Maroons, Ottawa Senators (1917), New York Americans, Boston Bruins, Montréal Canadiens, St. Louis Eagles, Detroit Red Wings"
Bill,Touhey,"Montreal Maroons, Ottawa Senators (1917), Boston Bruins"
Jimmy,Ward,"Montreal Maroons, Montréal Canadiens"
Marty,Barry,"New York Americans, Boston Bruins, Detroit Red Wings, Montréal Canadiens"
Bobby,Burns,Chicago Blackhawks
Rosie,Couture,"Chicago Blackhawks, Montréal Canadiens"
Johnny,Gottselig,Chicago Blackhawks
Art,Lesieur,"Chicago Blackhawks, Montréal Canadiens"
Mush,March,Chicago Blackhawks
Vic,Ripley,"Chicago Blackhawks, Boston Bruins, New York Rangers, St. Louis Eagles"
Gerry,Carson,"New York Rangers, Montréal Canadiens, Montreal Maroons"
Myles,Lane,"New York Rangers, Boston Bruins"
Sparky,Vail,New York Rangers
Fred,Elliott,Ottawa Senators (1917)
Lloyd,Klein,"Boston Bruins, New York Americans"
George,Owen,Boston Bruins
Eric,Pettinger,"Boston Bruins, Toronto Maple Leafs, Ottawa Senators (1917)"
Cooney,Weiland,"Boston Bruins, Ottawa Senators (1917), Detroit Red Wings"
Tiny,Thompson,"Boston Bruins, Detroit Red Wings"
Frank,Daley,Detroit Cougars
Herbie,Lewis,"Detroit Cougars, Detroit Falcons, Detroit Red Wings"
Dolly,Dolson,"Detroit Cougars, Detroit Falcons"
Georges,Mantha,Montréal Canadiens
Armand,Mondou,Montréal Canadiens
Andy,Blair,"Toronto Maple Leafs, Chicago Blackhawks"
Red,Horner,Toronto Maple Leafs
Benny,Grant,"Toronto Maple Leafs, New York Americans, Boston Bruins"
Henry,Hicks,"Montreal Maroons, Detroit Cougars, Detroit Falcons"
Cliff,McBride,"Montreal Maroons, Toronto Maple Leafs"
Baldy,Northcott,"Montreal Maroons, Chicago Blackhawks"
Earl,Robinson,"Montreal Maroons, Chicago Blackhawks, Montréal Canadiens"
Dave,Trottier,"Montreal Maroons, Detroit Red Wings"
Stew,Adams,"Chicago Blackhawks, Toronto Maple Leafs"
Helge,Bostrom,Chicago Blackhawks
Tom,Cook,"Chicago Blackhawks, Montreal Maroons"
Frank,Ingram,Chicago Blackhawks
Art,Somers,"Chicago Blackhawks, New York Rangers"
Harry,Foster,"New York Rangers, Boston Bruins, Detroit Red Wings"
Leroy,Goldsworthy,"New York Rangers, Detroit Falcons, Detroit Red Wings, Chicago Blackhawks, Montréal Canadiens, Boston Bruins, New York Americans"
Orville,Heximer,"New York Rangers, Boston Bruins, New York Americans"
Leo,Quenneville,New York Rangers
Bill,Regan,"New York Rangers, New York Americans"
Syd,Howe,"Ottawa Senators (1917), Philadelphia Quakers, Toronto Maple Leafs, Detroit Red Wings, St. Louis Eagles"
Bill,Hutton,"Ottawa Senators (1917), Boston Bruins, Philadelphia Quakers"
Wally,Kilrea,"Ottawa Senators (1917), Philadelphia Quakers, New York Americans, Montreal Maroons, Detroit Red Wings"
Harold,Starr,"Ottawa Senators (1917), Montreal Maroons, Montréal Canadiens, New York Rangers"
Cliff,Barton,"Pittsburgh Pirates, Philadelphia Quakers, New York Rangers"
James,Jarvis,"Pittsburgh Pirates, Philadelphia Quakers, Toronto Maple Leafs"
Rennison,Manners,"Pittsburgh Pirates, Philadelphia Quakers"
Red,Spooner,Pittsburgh Pirates
Bob,Taylor,Boston Bruins
Ebbie,Goodfellow,"Detroit Cougars, Detroit Falcons, Detroit Red Wings"
James,Hughes,Detroit Cougars
Joe,Matte,"Detroit Cougars, Chicago Blackhawks"
Stan,McCabe,"Detroit Cougars, Detroit Falcons, Montreal Maroons"
Harvey,Rockburn,"Detroit Cougars, Detroit Falcons, Ottawa Senators (1917)"
Bill,Beveridge,"Detroit Cougars, Ottawa Senators (1917), St. Louis Eagles, Montreal Maroons, New York Rangers"
Gus,Rivers,Montréal Canadiens
Mickey,Murray,Montréal Canadiens
Gord,Brydson,Toronto Maple Leafs
Charlie,Conacher,"Toronto Maple Leafs, Detroit Red Wings, New York Americans"
Busher,Jackson,"Toronto Maple Leafs, New York Americans, Boston Bruins"
Bill,Phillips,Montreal Maroons
Archie,Wilcox,"Montreal Maroons, Boston Bruins, St. Louis Eagles"
Abbie,Cox,"Montreal Maroons, Detroit Red Wings, New York Americans, Montréal Canadiens"
Roy,Burmister,New York Americans
George,Massecar,New York Americans
Vic,Desjardins,"Chicago Blackhawks, New York Rangers"
Roger,Jenkins,"Chicago Blackhawks, Toronto Maple Leafs, Montréal Canadiens, Boston Bruins, Montreal Maroons, New York Americans"
Doc,Romnes,"Chicago Blackhawks, Toronto Maple Leafs, New York Americans"
Ed,Vokes,Chicago Blackhawks
Jimmy,Creighton,Detroit Falcons
Stewart,Evans,"Detroit Falcons, Detroit Red Wings, Montreal Maroons, Montréal Canadiens"
Tommy,Filmore,"Detroit Falcons, New York Americans, Boston Bruins"
Bert,McInenly,"Detroit Falcons, New York Americans, Ottawa Senators (1917), Boston Bruins"
John,Newman,Detroit Falcons
John,Sorrell,"Detroit Falcons, Detroit Red Wings, New York Americans"
Frank,Steele,Detroit Falcons
Gene,Carrigan,"New York Rangers, Detroit Red Wings, St. Louis Eagles"
Cecil,Dillon,"New York Rangers, Detroit Red Wings"
Joe,Jerwa,"New York Rangers, Boston Bruins, New York Americans"
Ernest,Kenny,"New York Rangers, Chicago Blackhawks"
Bud,Maracle,New York Rangers
Sam,McAdam,New York Rangers
Frank,Peters,New York Rangers
Deacon,Waite,New York Rangers
Ray,Kinsella,Ottawa Senators (1917)
Henry,Harris,Boston Bruins
Red,Beattie,"Boston Bruins, Detroit Red Wings, New York Americans"
Art,Chapman,"Boston Bruins, New York Americans"
